Казым;HB9W;63.69382;67.24098;25;508;40;Нетвёрдое (грунт)
Радужный-2;HG00;62.10902;77.66598;75;25;25;Твёрдое
Батово;HA8A;60.40612;69.81873;37;;;
Локосово;HAH1;61.13578;74.84120;43;35;35;Твёрдое (бетон)
Карабашское 2;HH1G;59.99337;63.88497;80;28;28;Твёрдое
Талинка;HB3T;61.53975;66.45230;55;23;23;Твёрдое
Колекъеган;HAD5;61.73105;79.12285;55;605;45;Нетвёрдое (грунт)
ЦЗС;HB7T;60.15340;71.48495;58;;;
КС-5;HCV8;60.56355;72.54912;96;50;50;Твёрдое (бетон)
Урай;USHU;60.10735;64.82590;60;2305;44;Твёрдое (железобетон)
Мегион (Северный);USNM;61.07193;76.12145;45;115;25;Твёрдое
ЛПДС Конда, 108-й км;HB3D;59.58512;65.85492;73;12;12;Твёрдое
ЦАРС;HA8I;61.00030;76.44637;49;;;
Пашторы;HAN0;63.72920;65.45333;6;23;23;Твёрдое (бетон)
ДНС-2 Тайлаковская;HDW1;59.24147;74.32623;93;23;20;Твёрдое
ГКС Приполярная;HFW8;63.22258;59.77850;253;23;23;Твёрдое (асфальт)
Мостоотряд;HAI9;60.99398;68.92512;30;20;20;Твёрдое (асфальтобетон)
Хой;HB9G;60.35642;67.60197;80;;;
Компания МТА;HB95;61.24720;73.52867;29;15;12;Твёрдое (бетон)
Ритек;HB29;62.33045;74.48808;90;24;24;Твёрдое
Победит;USRP;61.34230;73.08995;64;160;35;Твёрдое
Западный Угут (ДНС);HB7U;60.45358;73.69838;76;20;20;Твёрдое
178-й км;HB3E;62.99100;60.96647;162;20;20;Твёрдое
Советский;USHS;61.32510;63.60342;107;2500;44;Твёрдое
НПС Сев-Варъёган;HG4N;62.38447;77.47813;86;30;30;Твёрдое
Карьер-5Г;HB9T;61.87412;69.51852;58;20;20;Твёрдое (бетон)
КС-11;HB33;61.39232;63.33475;125;50;50;Твёрдое
Хомес;HD7E;63.48340;59.80905;181;23;16;Твёрдое
Лямино;HFP2;61.27662;71.73664;40;22;22;Твёрдое
Кедровый;HAD1;61.47619;68.24837;35;20;18;Твёрдое
Угут;USRU;60.51222;74.03742;45;50;50;Твёрдое
ПБ Югорская;HAP8;61.01822;69.10412;34;;;
КС Пунга;HAQ0;62.76615;64.27102;37;30;25;Твёрдое
Алтай;ZDG2;60.33755;68.95078;37;560;60;Нетвёрдое (грунт)
НПС Юган;HB7M;60.91098;74.41198;60;25;23;Твёрдое
Белоярский;USHQ;63.68798;66.69982;25;2140;44;Твёрдое (бетон)
Филипповка;HB2Y;60.89805;64.82457;70;;;
Нижний Сартым;HAK1;62.45595;71.70485;78;67;57;Твёрдое
Колик-Еган;HAE3;62.00133;79.52752;75;18;18;Твёрдое
Верхний Колекьеган;HC0W;62.36732;80.12415;101;;;
Ягурьях;HA78;61.25249;67.66720;34;;;
ДНС Ачимовская;HDV9;60.05833;75.45833;103;;;
Метлъмехигль;HEM4;60.42325;73.30475;65;20;20;Твёрдое
Кысуйто;HG0D;62.10743;75.50530;55;20;20;Твёрдое
Апрельская;HA7J;62.33558;74.47970;92;22;18;Твёрдое
Полноват;HAO8;63.78623;65.92725;9;1200;70;Нетвёрдое (грунт)
Вершина;HB9Q;61.80558;68.35308;40;;;
Теги;HD6T;64.31875;65.37125;15;;;
КС-2;HBB3;62.38175;74.79663;82;;;
Кама;HAC0;60.41740;69.04285;34;21;21;Твёрдое (металл)
Ванзеват;HC0U;64.23378;66.05683;17;650;45;Нетвёрдое (грунт)
УПН;HD7G;60.29142;70.89768;80;20;20;Твёрдое (железобетон)
Чурым;HGX8;60.22428;70.11123;94;20;20;Твёрдое
Шоганы;USHY;63.94262;64.05058;30;;;
Бобровка-2;HGX4;59.97148;70.09098;58;20;20;Твёрдое (бетон)
Угут (ЦЗС);HC2P;60.52398;74.05617;50;22;22;Твёрдое
Светлый;HB2V;62.72715;64.35697;30;611;60;Нетвёрдое (грунт)
Белогорье;HA7Y;61.05870;68.61938;27;20;20;Твёрдое (бетон)
Русскинская;HE94;62.15325;73.59147;50;20;18;Твёрдое (бетон)
Р-116;HB7Y;60.53405;74.33102;56;;;
Кислорский-150;HG3N;63.66428;66.57705;20;;;
75-й км;HFG5;62.28168;63.58748;92;20;20;Твёрдое
Покур;HAO1;61.00190;75.48932;24;20;12;Твёрдое
461-й км;HBD2;63.20597;65.95907;130;;;
25-й км;HBA9;62.60948;64.12828;46;45;22;Твёрдое
Речка Черная (Газпром);HFP4;61.39512;73.16667;67;133;75;Твёрдое (бетон)
