lon,lat,reg_date,last_date_cutted,square
76.46567,61.20432,2019-03-19,2018-07-16,0.252
76.648155,61.14305,2019-03-19,2018-07-18,0.1191
76.43608,61.193512,2019-03-19,2018-07-19,0.0359
76.82806,61.03345,2019-03-19,2018-07-25,0.1172
76.721,61.148,2019-03-19,2018-07-27,0.3483
76.46487,61.204124,2019-03-19,2018-07-29,0.2539
76.61284,61.09779,2019-03-19,2018-07-29,0.1363
76.30953,61.19199,2019-03-19,2018-07-30,0.0192
76.463974,61.203903,2019-03-19,2018-08-02,0.1699
76.9432,61.031868,2019-03-19,2018-08-06,0.0456
76.540054,61.316257,2019-03-19,2018-08-09,0.0519
76.56495,61.109116,2019-03-19,2018-08-10,0.2376
76.756996,61.105225,2019-03-19,2018-08-13,0.0019
76.61449,61.248917,2019-03-19,2018-08-15,0.0243
76.796364,61.071056,2019-03-19,2018-08-17,0.0147
76.50946,61.26404,2019-03-19,2018-08-22,0.112
76.74359,61.056282,2019-03-19,2018-08-28,0.1474
76.410576,61.031696,2019-03-19,2018-08-30,0.1576
76.63059,61.22707,2019-03-19,2018-09-03,0.0194
76.9312,61.05635,2019-03-19,2018-09-03,0.0043
76.76481,61.04399,2019-03-19,2018-09-03,0.2669
76.613014,61.097622,2019-03-19,2018-09-06,0.0074
76.67546,61.233654,2019-03-19,2018-09-17,0.0218
76.73424,61.03888,2019-03-19,2018-09-19,0.0059
76.81383,61.247425,2019-03-19,2018-09-27,0.0118
76.96619,61.153824,2019-03-19,2018-10-03,0.0328
76.85574,61.123383,2019-03-19,2018-10-07,0.0202
77.05083,61.192097,2019-03-19,2018-10-07,0.0285
76.90992,61.162643,2019-03-19,2018-10-11,0.0352
76.561516,61.110268,2019-03-19,2018-10-12,0.0198
76.612854,61.15993,2019-03-19,2018-10-17,0.0294
76.83697,61.24661,2019-03-19,2018-10-17,0.0442
76.66282,61.09806,2019-03-19,2018-10-18,0.1571
76.7178,61.128464,2019-03-19,2018-10-22,0.0103
76.49949,61.294586,2019-03-19,2018-10-24,0.3155
76.928764,61.149986,2019-03-19,2018-10-25,0.0201
76.56163,61.137142,2019-03-19,2018-10-27,0.01
76.92385,61.094124,2019-03-19,2018-10-28,0.0208
76.58614,61.16707,2019-03-19,2018-10-31,0.4365
76.65771,61.09752,2019-03-19,2018-11-01,0.0395
76.94944,61.19174,2019-03-19,2018-11-05,0.1458
76.733376,61.16775,2019-03-19,2018-11-07,0.0183
76.44908,61.01722,2019-03-19,2018-11-10,0.2541
76.45393,61.02098,2019-03-19,2018-11-11,0.0193
76.67275,61.057556,2019-03-19,2018-11-16,0.0082
76.787315,61.058605,2019-03-19,2018-11-16,0.0083
76.77121,61.059254,2019-03-19,2018-11-17,0.008
76.91013,61.047504,2019-03-19,2018-11-21,0.24
77.04032,61.20114,2019-03-19,2018-11-23,0.0489
76.77936,61.007687,2019-03-19,2018-11-26,0.2318
76.88399,61.093693,2019-03-19,2018-12-03,0.1201
76.961105,61.176605,2019-03-19,2018-12-06,0.006
76.64565,61.164772,2019-03-19,2018-12-17,0.0189
76.54888,61.312645,2019-03-19,2018-12-17,0.194
76.84788,61.019196,2019-03-19,2018-12-18,0.2593
76.81348,61.132862,2019-03-19,2018-12-20,0.0197
76.84801,61.01925,2019-03-19,2018-12-27,0.2672
